{'step': 1, 'pp': 0.01, 'infections': 0, 'run': 1, 'sp': 0.01}
{'step': 1, 'pp': 0.05, 'infections': 0, 'run': 1, 'sp': 0.01}
{'step': 1, 'pp': 0.1, 'infections': 0, 'run': 1, 'sp': 0.01}
{'step': 1, 'pp': 0.15, 'infections': 0, 'run': 1, 'sp': 0.01}
{'step': 1, 'pp': 0.2, 'infections': 0, 'run': 1, 'sp': 0.01}
{'step': 1, 'pp': 0.25, 'infections': 0, 'run': 1, 'sp': 0.01}
{'step': 1, 'pp': 0.01, 'infections': 0, 'run': 1, 'sp': 0.02}
{'step': 1, 'pp': 0.05, 'infections': 0, 'run': 1, 'sp': 0.02}
{'step': 1, 'pp': 0.1, 'infections': 0, 'run': 1, 'sp': 0.02}
{'step': 1, 'pp': 0.15, 'infections': 0, 'run': 1, 'sp': 0.02}
{'step': 1, 'pp': 0.2, 'infections': 0, 'run': 1, 'sp': 0.02}
{'step': 1, 'pp': 0.25, 'infections': 0, 'run': 1, 'sp': 0.02}
{'step': 1, 'pp': 0.01, 'infections': 0, 'run': 1, 'sp': 0.03}
{'step': 1, 'pp': 0.05, 'infections': 0, 'run': 1, 'sp': 0.03}
{'step': 1, 'pp': 0.1, 'infections': 0, 'run': 1, 'sp': 0.03}
{'step': 1, 'pp': 0.15, 'infections': 0, 'run': 1, 'sp': 0.03}
{'step': 1, 'pp': 0.2, 'infections': 0, 'run': 1, 'sp': 0.03}
{'step': 1, 'pp': 0.25, 'infections': 0, 'run': 1, 'sp': 0.03}
{'step': 1, 'pp': 0.01, 'infections': 0, 'run': 1, 'sp': 0.04}
{'step': 1, 'pp': 0.05, 'infections': 0, 'run': 1, 'sp': 0.04}
{'step': 1, 'pp': 0.1, 'infections': 0, 'run': 1, 'sp': 0.04}
{'step': 5, 'pp': 0.15, 'infections': 5, 'run': 1, 'sp': 0.04}
{'step': 1, 'pp': 0.2, 'infections': 0, 'run': 1, 'sp': 0.04}
{'step': 6, 'pp': 0.25, 'infections': 10, 'run': 1, 'sp': 0.04}
{'step': 1, 'pp': 0.01, 'infections': 0, 'run': 1, 'sp': 0.05}
{'step': 1, 'pp': 0.05, 'infections': 0, 'run': 1, 'sp': 0.05}
{'step': 1, 'pp': 0.1, 'infections': 0, 'run': 1, 'sp': 0.05}
{'step': 7, 'pp': 0.15, 'infections': 8, 'run': 1, 'sp': 0.05}
{'step': 6, 'pp': 0.2, 'infections': 7, 'run': 1, 'sp': 0.05}
{'step': 5, 'pp': 0.25, 'infections': 14, 'run': 1, 'sp': 0.05}
