{'run': 1, 'infections': 60, 'step': 3, 'sp': 0.01, 'pp': 0.01}
{'run': 1, 'infections': 455, 'step': 8, 'sp': 0.01, 'pp': 0.05}
{'run': 1, 'infections': 1596, 'step': 14, 'sp': 0.01, 'pp': 0.1}
{'run': 1, 'infections': 3096, 'step': 15, 'sp': 0.01, 'pp': 0.15}
{'run': 1, 'infections': 4941, 'step': 17, 'sp': 0.01, 'pp': 0.2}
{'run': 1, 'infections': 6524, 'step': 19, 'sp': 0.01, 'pp': 0.25}
{'run': 1, 'infections': 99, 'step': 3, 'sp': 0.02, 'pp': 0.01}
{'run': 1, 'infections': 596, 'step': 8, 'sp': 0.02, 'pp': 0.05}
{'run': 1, 'infections': 1846, 'step': 9, 'sp': 0.02, 'pp': 0.1}
{'run': 1, 'infections': 3320, 'step': 16, 'sp': 0.02, 'pp': 0.15}
{'run': 1, 'infections': 5035, 'step': 15, 'sp': 0.02, 'pp': 0.2}
{'run': 1, 'infections': 6341, 'step': 12, 'sp': 0.02, 'pp': 0.25}
{'run': 1, 'infections': 111, 'step': 3, 'sp': 0.03, 'pp': 0.01}
{'run': 1, 'infections': 736, 'step': 7, 'sp': 0.03, 'pp': 0.05}
{'run': 1, 'infections': 2088, 'step': 11, 'sp': 0.03, 'pp': 0.1}
{'run': 1, 'infections': 3669, 'step': 12, 'sp': 0.03, 'pp': 0.15}
{'run': 1, 'infections': 5081, 'step': 12, 'sp': 0.03, 'pp': 0.2}
{'run': 1, 'infections': 6361, 'step': 13, 'sp': 0.03, 'pp': 0.25}
{'run': 1, 'infections': 113, 'step': 3, 'sp': 0.04, 'pp': 0.01}
{'run': 1, 'infections': 827, 'step': 7, 'sp': 0.04, 'pp': 0.05}
{'run': 1, 'infections': 2082, 'step': 9, 'sp': 0.04, 'pp': 0.1}
{'run': 1, 'infections': 3586, 'step': 10, 'sp': 0.04, 'pp': 0.15}
{'run': 1, 'infections': 4928, 'step': 10, 'sp': 0.04, 'pp': 0.2}
{'run': 1, 'infections': 6446, 'step': 13, 'sp': 0.04, 'pp': 0.25}
{'run': 1, 'infections': 137, 'step': 3, 'sp': 0.05, 'pp': 0.01}
{'run': 1, 'infections': 856, 'step': 7, 'sp': 0.05, 'pp': 0.05}
{'run': 1, 'infections': 2228, 'step': 9, 'sp': 0.05, 'pp': 0.1}
{'run': 1, 'infections': 3738, 'step': 11, 'sp': 0.05, 'pp': 0.15}
{'run': 1, 'infections': 5035, 'step': 9, 'sp': 0.05, 'pp': 0.2}
{'run': 1, 'infections': 6487, 'step': 11, 'sp': 0.05, 'pp': 0.25}
 12}
