{'infections': 0, 'sp': 0.01, 'pp': 0.01, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.01, 'pp': 0.05, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.01, 'pp': 0.1, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.01, 'pp': 0.15, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.01, 'pp': 0.2, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.01, 'pp': 0.25, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.02, 'pp': 0.01, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.02, 'pp': 0.05, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.02, 'pp': 0.1, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.02, 'pp': 0.15, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.02, 'pp': 0.2, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.02, 'pp': 0.25, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.03, 'pp': 0.01, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.03, 'pp': 0.05, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.03, 'pp': 0.1, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.03, 'pp': 0.15, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.03, 'pp': 0.2, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.03, 'pp': 0.25, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.04, 'pp': 0.01, 'step': 1, 'run': 1}
{'infections': 0, 'sp': 0.04, 'pp': 0.05, 'step': 1, 'run': 1}
{'infections': 1, 'sp': 0.04, 'pp': 0.1, 'step': 2, 'run': 1}
{'infections': 0, 'sp': 0.04, 'pp': 0.15, 'step': 1, 'run': 1}
{'infections': 6, 'sp': 0.04, 'pp': 0.2, 'step': 5, 'run': 1}
{'infections': 14, 'sp': 0.04, 'pp': 0.25, 'step': 7, 'run': 1}
{'infections': 0, 'sp': 0.05, 'pp': 0.01, 'step': 1, 'run': 1}
{'infections': 3, 'sp': 0.05, 'pp': 0.05, 'step': 3, 'run': 1}
{'infections': 5, 'sp': 0.05, 'pp': 0.1, 'step': 4, 'run': 1}
{'infections': 4, 'sp': 0.05, 'pp': 0.15, 'step': 4, 'run': 1}
{'infections': 11, 'sp': 0.05, 'pp': 0.2, 'step': 7, 'run': 1}
{'infections': 14, 'sp': 0.05, 'pp': 0.25, 'step': 7, 'run': 1}
