{'infections': 12, 'run': 1, 'sp': 0.01, 'step': 3, 'pp': 0.01}
{'infections': 129, 'run': 1, 'sp': 0.01, 'step': 9, 'pp': 0.05}
{'infections': 1408, 'run': 1, 'sp': 0.01, 'step': 17, 'pp': 0.1}
{'infections': 3222, 'run': 1, 'sp': 0.01, 'step': 29, 'pp': 0.15}
{'infections': 5188, 'run': 1, 'sp': 0.01, 'step': 19, 'pp': 0.2}
{'infections': 6737, 'run': 1, 'sp': 0.01, 'step': 16, 'pp': 0.25}
{'infections': 16, 'run': 1, 'sp': 0.02, 'step': 4, 'pp': 0.01}
{'infections': 227, 'run': 1, 'sp': 0.02, 'step': 11, 'pp': 0.05}
{'infections': 1624, 'run': 1, 'sp': 0.02, 'step': 20, 'pp': 0.1}
{'infections': 3347, 'run': 1, 'sp': 0.02, 'step': 18, 'pp': 0.15}
{'infections': 5245, 'run': 1, 'sp': 0.02, 'step': 22, 'pp': 0.2}
{'infections': 6845, 'run': 1, 'sp': 0.02, 'step': 16, 'pp': 0.25}
{'infections': 34, 'run': 1, 'sp': 0.03, 'step': 3, 'pp': 0.01}
{'infections': 378, 'run': 1, 'sp': 0.03, 'step': 17, 'pp': 0.05}
{'infections': 1741, 'run': 1, 'sp': 0.03, 'step': 19, 'pp': 0.1}
{'infections': 3652, 'run': 1, 'sp': 0.03, 'step': 19, 'pp': 0.15}
{'infections': 5419, 'run': 1, 'sp': 0.03, 'step': 15, 'pp': 0.2}
{'infections': 6996, 'run': 1, 'sp': 0.03, 'step': 15, 'pp': 0.25}
{'infections': 24, 'run': 1, 'sp': 0.04, 'step': 3, 'pp': 0.01}
{'infections': 393, 'run': 1, 'sp': 0.04, 'step': 15, 'pp': 0.05}
{'infections': 1963, 'run': 1, 'sp': 0.04, 'step': 16, 'pp': 0.1}
{'infections': 3742, 'run': 1, 'sp': 0.04, 'step': 14, 'pp': 0.15}
{'infections': 5420, 'run': 1, 'sp': 0.04, 'step': 14, 'pp': 0.2}
{'infections': 6756, 'run': 1, 'sp': 0.04, 'step': 14, 'pp': 0.25}
{'infections': 51, 'run': 1, 'sp': 0.05, 'step': 4, 'pp': 0.01}
{'infections': 451, 'run': 1, 'sp': 0.05, 'step': 9, 'pp': 0.05}
{'infections': 1777, 'run': 1, 'sp': 0.05, 'step': 12, 'pp': 0.1}
{'infections': 3662, 'run': 1, 'sp': 0.05, 'step': 14, 'pp': 0.15}
{'infections': 5443, 'run': 1, 'sp': 0.05, 'step': 13, 'pp': 0.2}
{'infections': 7021, 'run': 1, 'sp': 0.05, 'step': 12, 'pp': 0.25}
